metric,algorithm,region,input_combo,dataset,region_metric,general_metric
MAE,GPR,Eastern Anatolia,9,train,0.5130559933254804,0.5848671564355379
MAE,GPR,Marmara,9,test,0.5080964428840591,0.5336868501371219
MAE,GPR,Marmara,9,train,0.4358932319677658,0.47569657652438085
MAE,GPR,Mediterranean,9,test,0.5496734893184377,0.4956107934569599
MAE,GPR,Mediterranean,9,train,0.45290925776231034,0.4666143149537553
MAE,GPR,Southeastern Anatolia,9,test,0.5877015111243932,0.6464188184166738
MAE,GPR,Southeastern Anatolia,9,train,0.47013117449912184,0.5691515396760036
MAE,GPR,all_data,9,test,0.5168018570531648,0.5245645274555154
MAE,GPR,all_data,9,train,0.45386687309092877,0.49382957065343464
MAE,GPR,Aegean,10,test,0.597781646388139,0.600346471904647
MAE,GPR,Aegean,10,train,0.543337263557855,0.5529571064297013
MAE,GPR,Black Sea,10,test,0.49876698525366503,0.49251010908685516
MAE,GPR,Black Sea,10,train,0.490757826346735,0.506460513594915
MAE,GPR,Central Anatolia,10,test,0.5579488634018742,0.5696387122954835
MAE,GPR,Central Anatolia,10,train,0.5921090727226633,0.6082984601546971
MAE,GPR,Eastern Anatolia,10,test,0.5611421150402115,0.6825555533646085
MAE,GPR,Eastern Anatolia,10,train,0.5288886218204929,0.7843898792086585
MAE,GPR,Marmara,10,test,0.5518214261540583,0.6657934056773122
MAE,GPR,Marmara,10,train,0.5484088691800975,0.6474153505517952
MAE,GPR,Mediterranean,10,test,0.6858200779893888,0.7058521651947424
MAE,GPR,Mediterranean,10,train,0.5787670449659554,0.6120208323671736
MAE,GPR,Southeastern Anatolia,10,test,0.5887454213639959,0.6637020217744242
MAE,GPR,Southeastern Anatolia,10,train,0.5183809535426377,0.6652400151636775
MAE,GPR,all_data,10,test,0.5759194580004438,0.6224810613373527
MAE,GPR,all_data,10,train,0.5497459855020638,0.6275590487707935
MAE,GPR,Aegean,11,test,0.6150229026604644,0.6049210486860155
MAE,GPR,Aegean,11,train,0.5389564312933619,0.558724037576188
MAE,GPR,Black Sea,11,test,0.4957593130008723,0.5014914156845174
MAE,GPR,Black Sea,11,train,0.4978457870626987,0.5200915700600256
MAE,GPR,Central Anatolia,11,test,0.5433448291156471,0.5660481366540344
MAE,GPR,Central Anatolia,11,train,0.5652890423810732,0.59453424596518
MAE,GPR,Eastern Anatolia,11,test,0.5202308284590271,0.6749810635971312
MAE,GPR,Eastern Anatolia,11,train,0.507341661917733,0.7735158838989306
MAE,GPR,Marmara,11,test,0.5807404658369161,0.688179848786533
MAE,GPR,Marmara,11,train,0.5550623331174068,0.6643202557278954
MAE,GPR,Mediterranean,11,test,0.7327976595786676,0.7018645603170659
MAE,GPR,Mediterranean,11,train,0.5793781256427505,0.6199817996497855
MAE,GPR,Southeastern Anatolia,11,test,0.575891172998758,0.6798784683111936
MAE,GPR,Southeastern Anatolia,11,train,0.5174772132984118,0.6695143673849943
MAE,GPR,all_data,11,test,0.5766644007050269,0.6255288948232377
MAE,GPR,all_data,11,train,0.5406646733393834,0.6284305112467686
MAE,GPR,Aegean,12,test,0.5050957934542459,0.4983264208640182
MAE,GPR,Aegean,12,train,0.40885774014891424,0.4195048955391508
MAE,GPR,Black Sea,12,test,0.32620621031451436,0.36201421749149265
MAE,GPR,Black Sea,12,train,0.38290146854444457,0.40404901745931876
MAE,GPR,Central Anatolia,12,test,0.39360713436223743,0.42647601505218297
MAE,GPR,Central Anatolia,12,train,0.478363416131549,0.4880157476755789
MAE,GPR,Eastern Anatolia,12,test,0.39805057151584006,0.41369076686502093
MAE,GPR,Eastern Anatolia,12,train,0.3469906513034306,0.4156867900505716
MAE,GPR,Marmara,12,test,0.4377253101758035,0.4952190131165967
MAE,GPR,Marmara,12,train,0.4390495951304994,0.4670293831694887
MAE,GPR,Mediterranean,12,test,0.5554278736445195,0.5810322651962125
MAE,GPR,Mediterranean,12,train,0.45506603973664367,0.518103082320419
MAE,GPR,Southeastern Anatolia,12,test,0.48330662467450264,0.4594569295432268
MAE,GPR,Southeastern Anatolia,12,train,0.47954907426967824,0.55744857931227
MAE,GPR,all_data,12,test,0.4384832903458188,0.4601774247410932
MAE,GPR,all_data,12,train,0.42446301582380863,0.45824940704658634
MAE,GPR,Aegean,13,test,0.5361957180944212,0.5268315872175007
MAE,GPR,Aegean,13,train,0.47249954857864473,0.4861045568225762
MAE,GPR,Black Sea,13,test,0.34523999165390823,0.46415172247955594
MAE,GPR,Black Sea,13,train,0.4392827309544682,0.5212964214545196
MAE,GPR,Central Anatolia,13,test,0.469641452264325,0.47783339911919565
MAE,GPR,Central Anatolia,13,train,0.4992376610609372,0.5139612767345592
MAE,GPR,Eastern Anatolia,13,test,0.4313587832926047,0.5916009476514811
MAE,GPR,Eastern Anatolia,13,train,0.37235737327289053,0.6131375551434289
MAE,GPR,Marmara,13,test,0.5031913278520765,0.5391688517869008
MAE,GPR,Marmara,13,train,0.5038612140615285,0.532737042079082
MAE,GPR,Mediterranean,13,test,0.599509756121391,0.6336610000584529
MAE,GPR,Mediterranean,13,train,0.4647687322772548,0.5137313609841713
MAE,GPR,Southeastern Anatolia,13,test,0.5339490836169292,0.5679456106384534
MAE,GPR,Southeastern Anatolia,13,train,0.4800905080033748,0.6593507367904905
MAE,GPR,all_data,13,test,0.4860347787875733,0.5379739618593745
MAE,GPR,all_data,13,train,0.4614139051557316,0.5378172828495648
MAE,GPR,Aegean,14,test,0.22440255126260833,0.21564793400694282
MAE,GPR,Aegean,14,train,0.18239914664453705,0.19890005381986775
MAE,GPR,Black Sea,14,test,0.21539538417335052,0.2230620975538028
MAE,GPR,Black Sea,14,train,0.1596653801932202,0.21669367005766485
MAE,GPR,Central Anatolia,14,test,0.18951611683097214,0.23686684835908084
MAE,GPR,Central Anatolia,14,train,0.15791013147329516,0.2164341849333564
MAE,GPR,Eastern Anatolia,14,test,0.17078280742140053,0.17989939716283315
MAE,GPR,Eastern Anatolia,14,train,0.1504093675151113,0.1690067626751269
MAE,GPR,Marmara,14,test,0.2032273625089423,0.25817205104903834
MAE,GPR,Marmara,14,train,0.17894000698274842,0.243793952869333
