model_name,algorithm,region,input_combo,st_num,dataset,MAE,RMSE,rRMSE,NSE
GPR_aegean_f1,GPR,Aegean,1,17180,test,0.35719399526183,0.4468517283230805,0.1119613916183513,0.9197618111736644
GPR_aegean_f1,GPR,Aegean,1,17190,test,0.3894466526003509,0.49779706178057,0.1338908434447701,0.9157500762400232
GPR_aegean_f1,GPR,Aegean,1,17221,test,0.3756282691139103,0.4666790311816647,0.1249897265985475,0.8591690206288318
GPR_aegean_f1,GPR,Aegean,1,17232,test,0.4141021534157252,0.5003526482055365,0.1181164459320233,0.870355226630463
GPR_aegean_f1,GPR,Aegean,1,17237,test,0.3303201670828509,0.4093360275264279,0.1331998484316687,0.9181496497378168
GPR_aegean_f1,GPR,Aegean,1,17238,test,0.4729680083312709,0.6036186427295204,0.1683149048892794,0.8697737472411382
GPR_aegean_f1,GPR,Aegean,1,17750,test,0.3178946636273152,0.3889399200090651,0.0929978899207218,0.952767739001765
GPR_aegean_f1,GPR,Aegean,1,17790,test,0.4265207154112708,0.5351164389960298,0.1373315742867397,0.9048988648222638
GPR_aegean_f1,GPR,Aegean,1,17824,test,0.4228498112998878,0.5285185250569019,0.1017630538289644,0.9436460629337868
GPR_aegean_f1,GPR,Aegean,1,17854,test,0.3070859424811663,0.3836446812071208,0.1050432446122305,0.9435629135095196
GPR_aegean_f1,GPR,Aegean,1,17884,test,0.3797134246718656,0.4976145340503106,0.1448768795754905,0.9050852828413808
GPR_aegean_f1,GPR,Aegean,1,18912,test,0.4608386346014053,0.5496136257129761,0.1341677583749639,0.8767624447866391
GPR_aegean_f1,GPR,Aegean,1,17155,train,0.3681620926063482,0.4648864693142242,0.1362023293898723,0.9047225619651244
GPR_aegean_f1,GPR,Aegean,1,17184,train,0.361573168821602,0.4450985822867943,0.0952231331640576,0.9644830723593836
GPR_aegean_f1,GPR,Aegean,1,17186,train,0.545369882584487,0.7134237860047188,0.1972412119676457,0.8684841375545548
GPR_aegean_f1,GPR,Aegean,1,17220,train,0.4129446983832516,0.5108243680682035,0.1065994811750719,0.934692188931786
GPR_aegean_f1,GPR,Aegean,1,17227,train,0.376217264605533,0.4542620877447383,0.0886544018605194,0.948041843887228
GPR_aegean_f1,GPR,Aegean,1,17234,train,0.3714107496113771,0.4643612470475186,0.1152937355879571,0.9319025655821463
GPR_aegean_f1,GPR,Aegean,1,17240,train,0.326747871960135,0.4369511235096744,0.1216421328221201,0.919294699551439
GPR_aegean_f1,GPR,Aegean,1,17290,train,0.4895184676264176,0.6069377043785161,0.1390988150536352,0.8839832491350496
GPR_aegean_f1,GPR,Aegean,1,17292,train,0.3074246769470628,0.3855913408881522,0.0974619472049937,0.9558863748130326
