model_name,algorithm,region,input_combo,dataset,MAE,RMSE,rRMSE,NSE
GPR_black_sea_f1,GPR,Black Sea,1,train,0.3190393100496045,0.4155999252605675,0.125919771657586,0.92555237792252
GPR_black_sea_f2,GPR,Black Sea,2,test,0.7739863919576475,0.9631533519661124,0.2920104808365084,0.6182041884844192
GPR_black_sea_f2,GPR,Black Sea,2,train,0.6387095982595035,0.8301920785546893,0.2515342053971774,0.7029311744229342
GPR_black_sea_f3,GPR,Black Sea,3,test,0.2163993689981985,0.2871429472798326,0.0870564899481824,0.966065880388026
GPR_black_sea_f3,GPR,Black Sea,3,train,0.1643090070382342,0.2274095842779336,0.0689012706320159,0.9777096217827392
GPR_black_sea_f4,GPR,Black Sea,4,test,0.5992160911746562,0.7571301592206339,0.2295480168329604,0.7640709760900702
GPR_black_sea_f4,GPR,Black Sea,4,train,0.555379971911892,0.7189867416848369,0.217840862894824,0.777186411647677
GPR_black_sea_f5,GPR,Black Sea,5,test,0.5987051220702672,0.7392324353218576,0.2241217542851614,0.7750933445908509
GPR_black_sea_f5,GPR,Black Sea,5,train,0.5347065674358649,0.7001475988543474,0.212132920185372,0.7887099156528843
GPR_black_sea_f6,GPR,Black Sea,6,test,0.594283000057912,0.7378910015091256,0.2237150560871366,0.7759088490065359
GPR_black_sea_f6,GPR,Black Sea,6,train,0.5488594827301219,0.7132543915025087,0.2161040574188184,0.7807251525375278
GPR_black_sea_f7,GPR,Black Sea,7,test,0.3696910724979984,0.4646768721993409,0.1408815289979995,0.9111326164751002
GPR_black_sea_f7,GPR,Black Sea,7,train,0.4115354875851405,0.5471619935764452,0.1657808606381688,0.8709578009345966
GPR_black_sea_f8,GPR,Black Sea,8,test,1.1423649305082393,1.3552697301531662,0.4108929951365784,0.2440522898380039
GPR_black_sea_f8,GPR,Black Sea,8,train,1.058549867477405,1.2506518881630837,0.3789264400899214,0.325824764963707
GPR_black_sea_f9,GPR,Black Sea,9,test,0.4446071770988814,0.5685931584191684,0.1723870464151923,0.8669412196272672
GPR_black_sea_f9,GPR,Black Sea,9,train,0.3828565759581056,0.4978992707326439,0.150855086029732,0.8931479424619734
GPR_black_sea_f10,GPR,Black Sea,10,test,0.498766985253665,0.6326180467185734,0.1917982215719298,0.8352886856949926
GPR_black_sea_f10,GPR,Black Sea,10,train,0.490757826346735,0.6394291914717091,0.1937362662681689,0.8237679768639723
GPR_black_sea_f11,GPR,Black Sea,11,test,0.4957593130008723,0.6319019738531335,0.1915811213756586,0.8356613546414666
GPR_black_sea_f11,GPR,Black Sea,11,train,0.4978457870626987,0.6435089720650756,0.1949723710158002,0.8215119594840024
GPR_black_sea_f12,GPR,Black Sea,12,test,0.3262062103145143,0.4186036487395707,0.1269129702957828,0.9278815643153012
GPR_black_sea_f12,GPR,Black Sea,12,train,0.3829014685444446,0.5014728761225093,0.1519378282232106,0.8916086053331452
GPR_black_sea_f13,GPR,Black Sea,13,test,0.3452399916539082,0.4364141754498427,0.1323127962508099,0.9216140950884648
GPR_black_sea_f13,GPR,Black Sea,13,train,0.4392827309544682,0.5752271738876202,0.1742841371825436,0.8573805697703285
GPR_black_sea_f14,GPR,Black Sea,14,test,0.2153953841733505,0.2866299901124113,0.0869009707166899,0.96618701310035
GPR_black_sea_f14,GPR,Black Sea,14,train,0.1596653801932201,0.2231929661003026,0.0676237064030002,0.9785285726197396
GPR_black_sea_f15,GPR,Black Sea,15,test,0.1236651946590587,0.1608401542899671,0.0487637931136889,0.9893529512907386
GPR_black_sea_f15,GPR,Black Sea,15,train,0.1017894785421827,0.1417257692312259,0.0429405190301773,0.9913423992404627
GPR_black_sea_f16,GPR,Black Sea,16,test,0.2112415067350802,0.2802342541258831,0.0849619005396334,0.9676791541248632
GPR_black_sea_f16,GPR,Black Sea,16,train,0.1595430281052278,0.2206770039585641,0.0668614122851939,0.979009921288218
GPR_central_anatolia_f1,GPR,Central Anatolia,1,test,0.3052169907154085,0.392625448654965,0.0978418854529033,0.9549469535766036
GPR_central_anatolia_f1,GPR,Central Anatolia,1,train,0.298626131360093,0.3840049124945327,0.0968487538284915,0.9574314852716592
GPR_central_anatolia_f2,GPR,Central Anatolia,2,test,0.5715083112504673,0.7286026308932589,0.181567077215082,0.8448510854537392
GPR_central_anatolia_f2,GPR,Central Anatolia,2,train,0.5626608118956927,0.7302656497707485,0.1841781598173111,0.8460510672824223
GPR_central_anatolia_f3,GPR,Central Anatolia,3,test,0.19473030812501,0.2585421215789422,0.0644284488714014,0.980464259044196
GPR_central_anatolia_f3,GPR,Central Anatolia,3,train,0.1681162703007636,0.2232679323058496,0.0563097510217226,0.9856097732387616
GPR_central_anatolia_f4,GPR,Central Anatolia,4,test,0.5717666693477462,0.7235609569080235,0.180310696890668,0.8469908085437688
GPR_central_anatolia_f4,GPR,Central Anatolia,4,train,0.6236610430215106,0.7894526361987054,0.19910553624376,0.8200851150435047
GPR_central_anatolia_f5,GPR,Central Anatolia,5,test,0.6043937200988643,0.7686420567072825,0.1915448637480644,0.8273305290909798
GPR_central_anatolia_f5,GPR,Central Anatolia,5,train,0.6300348957904585,0.8042839364268927,0.2028460950179309,0.8132615599557617
GPR_central_anatolia_f6,GPR,Central Anatolia,6,test,0.5627486797353612,0.7145182343194699,0.1780572590895204,0.8507913833166704
GPR_central_anatolia_f6,GPR,Central Anatolia,6,train,0.6062455999221562,0.7756473996959777,0.1956237579953741,0.8263224761712828
GPR_central_anatolia_f7,GPR,Central Anatolia,7,test,0.4462294794294754,0.5698629476367623,0.1420093003078058,0.90509084393519
GPR_central_anatolia_f7,GPR,Central Anatolia,7,train,0.4932678774005983,0.6375118215519726,0.1607849885751637,0.8826747679930019
GPR_central_anatolia_f8,GPR,Central Anatolia,8,test,1.175016932495388,1.4176123874762774,0.3532676481038814,0.4126698839022054
GPR_central_anatolia_f8,GPR,Central Anatolia,8,train,1.1563353539593848,1.397082898311247,0.352354184267025,0.4365449315884726
GPR_central_anatolia_f9,GPR,Central Anatolia,9,test,0.5238997304932618,0.6803847572918817,0.1695512293329585,0.864706658757325
GPR_central_anatolia_f9,GPR,Central Anatolia,9,train,0.4611406201447304,0.6125244099330563,0.1544829867050026,0.8916917002896807
GPR_central_anatolia_f10,GPR,Central Anatolia,10,test,0.5579488634018742,0.7308609180100688,0.1821298401999053,0.8438878339826551
GPR_central_anatolia_f10,GPR,Central Anatolia,10,train,0.5921090727226633,0.7698797548643911,0.1941691171918597,0.8288957741903983
GPR_central_anatolia_f11,GPR,Central Anatolia,11,test,0.5433448291156472,0.7032169866835905,0.1752409990114929,0.8554740019770357
GPR_central_anatolia_f11,GPR,Central Anatolia,11,train,0.5652890423810734,0.7331028083590364,0.1848937112718602,0.8448525280932684
GPR_central_anatolia_f12,GPR,Central Anatolia,12,test,0.3936071343622374,0.519145657165621,0.1293706001375583,0.92123274296334
GPR_central_anatolia_f12,GPR,Central Anatolia,12,train,0.478363416131549,0.6222639877475848,0.1569393770882015,0.888219956968396
GPR_central_anatolia_f13,GPR,Central Anatolia,13,test,0.469641452264325,0.5928622730528333,0.1477407101554411,0.8972752954388121
GPR_central_anatolia_f13,GPR,Central Anatolia,13,train,0.4992376610609372,0.6415947960843286,0.1618147436186692,0.8811671255551379
GPR_central_anatolia_f14,GPR,Central Anatolia,14,test,0.189516116830972,0.255140194729627,0.0635806919614759,0.9809749837388398
GPR_central_anatolia_f14,GPR,Central Anatolia,14,train,0.1579101314732951,0.2146982111174813,0.0541484067504748,0.986693256405763
GPR_central_anatolia_f15,GPR,Central Anatolia,15,test,0.1040183763832654,0.1352943308995214,0.0337152175735075,0.9946503364453576
GPR_central_anatolia_f15,GPR,Central Anatolia,15,train,0.1010386259838812,0.1366901357939278,0.0344742186403088,0.9946062689558928
GPR_central_anatolia_f16,GPR,Central Anatolia,16,test,0.1930145131917341,0.2532658921638629,0.063113617558704,0.98125347893771
GPR_central_anatolia_f16,GPR,Central Anatolia,16,train,0.1655942230496133,0.2196218313685828,0.0553901785875751,0.9860759378133186
GPR_eastern_anatolia_f1,GPR,Eastern Anatolia,1,test,0.2939906625794118,0.4134222965081165,0.1233301071558137,0.9478877058857034
GPR_eastern_anatolia_f1,GPR,Eastern Anatolia,1,train,0.2915263176952172,0.387028211189081,0.117728792009883,0.9552303204065652
GPR_eastern_anatolia_f2,GPR,Eastern Anatolia,2,test,0.5264627324411267,0.7037697837155004,0.2099451422232435,0.8489872434502284
GPR_eastern_anatolia_f2,GPR,Eastern Anatolia,2,train,0.4896310813506678,0.6400750803856587,0.1947022564011951,0.8775494952293172
GPR_eastern_anatolia_f3,GPR,Eastern Anatolia,3,test,0.1707343804607363,0.2848388602880584,0.08497172856466,0.9752627806032884
GPR_eastern_anatolia_f3,GPR,Eastern Anatolia,3,train,0.1493091787039918,0.2113803978126613,0.064299082520616,0.9866454836952872
GPR_eastern_anatolia_f4,GPR,Eastern Anatolia,4,test,0.566342481163368,0.7426169622438986,0.2215338415533831,0.8318557069041804
GPR_eastern_anatolia_f4,GPR,Eastern Anatolia,4,train,0.5625276622511544,0.7341596577761175,0.223321523221328,0.8389058486213812
GPR_eastern_anatolia_f5,GPR,Eastern Anatolia,5,test,0.5979863338207658,0.7825848336261721,0.2334568604664881,0.813269501637006
GPR_eastern_anatolia_f5,GPR,Eastern Anatolia,5,train,0.5734830114639419,0.7450780771128156,0.2266427599735988,0.834078635338783
GPR_eastern_anatolia_f6,GPR,Eastern Anatolia,6,test,0.5774651742180683,0.7621082780475852,0.2273483950667766,0.8229133753914821
GPR_eastern_anatolia_f6,GPR,Eastern Anatolia,6,train,0.5689407764706689,0.7420824976198792,0.2257315448609085,0.835410123941452
GPR_eastern_anatolia_f7,GPR,Eastern Anatolia,7,test,0.4309712426755976,0.593000176351253,0.1769008974855342,0.8927833960045458
GPR_eastern_anatolia_f7,GPR,Eastern Anatolia,7,train,0.3736925970744293,0.5135345373588615,0.1562103200510013,0.921179705180438
