model_name,algorithm,region,input_combo,train_time,kernel,C,gamma
SVR_aegean_f1,SVR,Aegean,1,2.158400535583496,rbf,20,0.5
SVR_black_sea_f1,SVR,Black Sea,1,0.3842060565948486,rbf,5,0.5
SVR_central_anatolia_f1,SVR,Central Anatolia,1,2.4227182865142822,rbf,5,0.1
SVR_eastern_anatolia_f1,SVR,Eastern Anatolia,1,1.218498945236206,rbf,20,0.1
SVR_marmara_f1,SVR,Marmara,1,1.3640625476837158,rbf,50,0.1
SVR_mediterranean_f1,SVR,Mediterranean,1,0.6336989402770996,rbf,50,0.1
SVR_southeastern_anatolia_f1,SVR,Southeastern Anatolia,1,0.1681783199310302,rbf,20,0.1
SVR_all_data_f1,SVR,all_data,1,54.68501138687134,rbf,50,0.1
SVR_aegean_f2,SVR,Aegean,2,1.9368538856506348,rbf,5,0.5
SVR_black_sea_f2,SVR,Black Sea,2,0.421776533126831,rbf,5,0.5
SVR_central_anatolia_f2,SVR,Central Anatolia,2,1.983910083770752,rbf,5,0.3
SVR_eastern_anatolia_f2,SVR,Eastern Anatolia,2,1.5754666328430176,rbf,5,0.3
SVR_marmara_f2,SVR,Marmara,2,0.7810666561126709,rbf,5,0.5
SVR_mediterranean_f2,SVR,Mediterranean,2,0.640474796295166,rbf,1,0.3
SVR_southeastern_anatolia_f2,SVR,Southeastern Anatolia,2,0.1593985557556152,rbf,20,0.3
SVR_all_data_f2,SVR,all_data,2,45.2431366443634,rbf,1,0.1
SVR_aegean_f3,SVR,Aegean,3,1.6246652603149414,rbf,20,0.3
SVR_black_sea_f3,SVR,Black Sea,3,0.4061133861541748,rbf,5,0.5
SVR_central_anatolia_f3,SVR,Central Anatolia,3,2.42130708694458,rbf,20,0.3
SVR_eastern_anatolia_f3,SVR,Eastern Anatolia,3,0.9216632843017578,rbf,5,0.5
SVR_marmara_f3,SVR,Marmara,3,1.1091504096984863,rbf,50,0.1
SVR_mediterranean_f3,SVR,Mediterranean,3,1.2497074604034424,rbf,50,0.3
SVR_southeastern_anatolia_f3,SVR,Southeastern Anatolia,3,0.2080731391906738,rbf,20,0.5
SVR_all_data_f3,SVR,all_data,3,31.44633913040161,rbf,5,0.1
SVR_aegean_f4,SVR,Aegean,4,1.3746798038482666,rbf,5,0.3
SVR_black_sea_f4,SVR,Black Sea,4,0.546748161315918,rbf,1,0.1
SVR_central_anatolia_f4,SVR,Central Anatolia,4,2.021063327789306,rbf,5,0.1
SVR_eastern_anatolia_f4,SVR,Eastern Anatolia,4,2.0389223098754883,rbf,50,0.5
SVR_marmara_f4,SVR,Marmara,4,0.7966873645782471,rbf,20,0.1
SVR_mediterranean_f4,SVR,Mediterranean,4,0.4998834133148193,rbf,5,0.1
SVR_southeastern_anatolia_f4,SVR,Southeastern Anatolia,4,0.130378246307373,rbf,5,0.3
SVR_all_data_f4,SVR,all_data,4,40.2137610912323,rbf,1,0.1
SVR_aegean_f5,SVR,Aegean,5,1.359057903289795,rbf,5,0.1
SVR_black_sea_f5,SVR,Black Sea,5,0.406186580657959,rbf,1,0.5
SVR_central_anatolia_f5,SVR,Central Anatolia,5,2.897301197052002,rbf,5,0.5
SVR_eastern_anatolia_f5,SVR,Eastern Anatolia,5,2.8030056953430176,rbf,20,0.3
SVR_marmara_f5,SVR,Marmara,5,0.7654459476470947,rbf,20,0.1
SVR_mediterranean_f5,SVR,Mediterranean,5,0.5311281681060791,rbf,20,0.1
SVR_southeastern_anatolia_f5,SVR,Southeastern Anatolia,5,0.1274526119232177,rbf,1,0.5
SVR_all_data_f5,SVR,all_data,5,40.73276495933533,rbf,1,0.1
