model_name,algorithm,region,input_combo,train_time,kernel_var,kernel_len,likelihood_var,M,batch_size
GPR_mediterranean_f6,GPR,Mediterranean,6,84.74546647071838,3.340762388409607,"1.976371660996886,0.8902203297894363",0.6380013536011832,150,100
GPR_southeastern_anatolia_f6,GPR,Southeastern Anatolia,6,84.89903807640076,3.530390417882815,"1.4056861410738133,3.969912982186417",0.8675795144029381,150,100
GPR_all_data_f6,GPR,all_data,6,87.56778383255005,3.723524924561184,"2.7144155398066565,1.7293849518807944",0.695911842370611,150,100
GPR_aegean_f7,GPR,Aegean,7,82.80934405326843,3.874634024151779,"1.3275253521523125,0.29187205158583646",0.3249241816888535,150,100
GPR_black_sea_f7,GPR,Black Sea,7,82.93922877311707,3.255717564302791,"0.4479831360878728,1.1330249840422575",0.3064193421501534,150,100
GPR_central_anatolia_f7,GPR,Central Anatolia,7,81.33301019668579,3.237438712294869,"1.761258838414516,0.7323733222361826",0.4078834767223164,150,100
GPR_eastern_anatolia_f7,GPR,Eastern Anatolia,7,82.66448831558228,3.1026067791160976,"3.800505571510073,1.2695933602037135",0.2644742321462572,150,100
GPR_marmara_f7,GPR,Marmara,7,81.24361944198608,3.3216868880721657,"0.9480097073695571,0.7044408608851789",0.4217021699032546,150,100
GPR_mediterranean_f7,GPR,Mediterranean,7,81.68513441085815,3.2844355152486595,"0.5926313385454711,0.6723981171622042",0.3537708555243304,150,100
GPR_southeastern_anatolia_f7,GPR,Southeastern Anatolia,7,82.27562928199768,4.054603702841351,"0.3275326947643303,1.2601375720748218",0.6698117523801052,150,100
GPR_all_data_f7,GPR,all_data,7,81.33088326454163,3.0659605314355454,"2.7697930225915823,0.9368618367642213",0.4505411589238964,150,100
GPR_aegean_f8,GPR,Aegean,8,80.43268942832947,3.378016477369199,"1.5006196912689447,2.3400281812487687",2.054472048951858,150,100
GPR_black_sea_f8,GPR,Black Sea,8,78.58266043663025,2.8817693906469124,"1.7008985412914008,1.6659984514230783",1.5699985156624752,150,100
GPR_central_anatolia_f8,GPR,Central Anatolia,8,79.20572113990784,3.139815525207717,"1.906720036015443,1.7761400038758512",1.9597824300543416,150,100
GPR_eastern_anatolia_f8,GPR,Eastern Anatolia,8,83.3118200302124,3.536019064798724,"1.7378378437600623,1.1318669980134966",1.5728342624832483,150,100
GPR_marmara_f8,GPR,Marmara,8,83.31551241874695,3.17437294456976,"1.4616947127572837,2.7724000337437236",1.908196234996724,150,100
GPR_mediterranean_f8,GPR,Mediterranean,8,82.01128125190735,2.9726212264076186,"1.0977671074118542,2.836719113502055",1.9704892603057569,150,100
GPR_southeastern_anatolia_f8,GPR,Southeastern Anatolia,8,79.64671111106873,4.394576263109879,"1.4290906085861925,1.017241427861031",1.521069277031315,150,100
GPR_all_data_f8,GPR,all_data,8,81.74302387237549,3.421240861760021,"1.7266352851974651,2.2910482843833777",1.9340832211311405,150,100
GPR_aegean_f9,GPR,Aegean,9,79.99469923973083,3.749018839777508,"1.588749331053063,0.9793379750740144",0.3165027006300911,150,100
GPR_black_sea_f9,GPR,Black Sea,9,80.9274652004242,3.1583516977318915,"1.6571204457742414,1.507609421964179",0.2523724014800899,150,100
GPR_central_anatolia_f9,GPR,Central Anatolia,9,79.55077266693115,3.3111512657017905,"2.0767850109107124,1.1580504297409766",0.3755603335503536,150,100
GPR_eastern_anatolia_f9,GPR,Eastern Anatolia,9,80.16531491279602,3.55649939357004,"2.2510389605308077,1.002060110113668",0.4412890027826931,150,100
GPR_marmara_f9,GPR,Marmara,9,80.17369270324707,3.3340102230567763,"1.0132590001324915,2.3795280453785694",0.3198858387904691,150,100
GPR_mediterranean_f9,GPR,Mediterranean,9,81.93970680236816,3.183751303800472,"2.4772446696178334,2.156117591303708",0.3364273266109711,150,100
GPR_southeastern_anatolia_f9,GPR,Southeastern Anatolia,9,81.09214663505554,3.912050756441018,"1.020213724591232,0.9545971107168154",0.3969520283240141,150,100
GPR_all_data_f9,GPR,all_data,9,81.57596516609192,3.6292982341266784,"2.4976740849914743,1.4723969203903515",0.4134687706233917,150,100
GPR_aegean_f10,GPR,Aegean,10,80.12546753883362,2.75720327203884,"1.443113326414137,3.3224122160125336",0.4899265692494964,150,100
GPR_black_sea_f10,GPR,Black Sea,10,85.18890810012817,3.1806432348077944,"1.6188976659715824,2.3580132841507946",0.415064163979636,150,100
