model_name,algorithm,region,input_combo,train_time
Polynomial_southeastern_anatolia_f15,Polynomial,Southeastern Anatolia,15,0.0039935111999511
Polynomial_all_data_f15,Polynomial,all_data,15,0.0249335765838623
Polynomial_aegean_f16,Polynomial,Aegean,16,0.0039889812469482
Polynomial_black_sea_f16,Polynomial,Black Sea,16,0.0049853324890136
Polynomial_central_anatolia_f16,Polynomial,Central Anatolia,16,0.0039918422698974
Polynomial_eastern_anatolia_f16,Polynomial,Eastern Anatolia,16,0.00398850440979
Polynomial_marmara_f16,Polynomial,Marmara,16,0.0039906501770019
Polynomial_mediterranean_f16,Polynomial,Mediterranean,16,0.0059845447540283
Polynomial_southeastern_anatolia_f16,Polynomial,Southeastern Anatolia,16,0.0039904117584228
Polynomial_all_data_f16,Polynomial,all_data,16,0.0269269943237304
